2026-01-21T03:51:53.009306+0000 | INFO | __main__:initialize:29 | bot starting...
2026-01-21T03:51:53.026916+0000 | INFO | rabbitmq_service:wait_for_rabbitmq:32 | ✓ RabbitMQ доступен после 1 попытки
2026-01-21T03:51:53.034667+0000 | INFO | rabbitmq_init:connect:29 | ✓ Успешно подключились к RabbitMQ
2026-01-21T03:51:53.039949+0000 | ERROR | __main__:<module>:80 | 💥 Критическая ошибка: cannot unpack non-iterable coroutine object
2026-01-21T03:52:35.942150+0000 | INFO | __main__:initialize:29 | bot starting...
2026-01-21T03:52:35.959199+0000 | INFO | rabbitmq_service:wait_for_rabbitmq:32 | ✓ RabbitMQ доступен после 1 попытки
2026-01-21T03:52:35.973504+0000 | INFO | rabbitmq_init:connect:29 | ✓ Успешно подключились к RabbitMQ
2026-01-21T03:52:35.974041+0000 | INFO | bot_init:bot_init:15 | 🔑 Токен бота получен (длина: 45 символов)
2026-01-21T03:52:36.152885+0000 | INFO | bot_init:bot_init:21 | Name     - goodboy
2026-01-21T03:52:36.153126+0000 | INFO | bot_init:bot_init:22 | Username - @ggoodboyybot
2026-01-21T03:52:36.153384+0000 | INFO | bot_init:bot_init:23 | ID       - 848325310
2026-01-21T03:52:36.153796+0000 | INFO | bot_init:bot_init:24 | BOT INITIALIZATION
2026-01-21T03:52:36.155233+0000 | INFO | bot_init:bot_init:32 | 🚀 Запускаем телеграм бота...
2026-01-21T03:54:44.355733+0000 | INFO | __main__:initialize:43 | ✅ Все компоненты инициализированы
2026-01-21T03:54:44.360230+0000 | ERROR | __main__:run:52 | ❌ Ошибка при запуске бота: 'FitnessBotApp' object has no attribute 'bot_initializer'
2026-01-21T03:54:44.364153+0000 | ERROR | __main__:<module>:80 | 💥 Критическая ошибка: 'FitnessBotApp' object has no attribute 'bot_initializer'
2026-01-21T03:54:53.385569+0000 | INFO | __main__:initialize:29 | bot starting...
2026-01-21T03:54:53.400667+0000 | INFO | rabbitmq_service:wait_for_rabbitmq:32 | ✓ RabbitMQ доступен после 1 попытки
2026-01-21T03:54:53.417171+0000 | INFO | rabbitmq_init:connect:29 | ✓ Успешно подключились к RabbitMQ
2026-01-21T03:54:53.417569+0000 | INFO | bot_init:bot_init:15 | 🔑 Токен бота получен (длина: 45 символов)
2026-01-21T03:54:53.791136+0000 | INFO | bot_init:bot_init:21 | Name     - goodboy
2026-01-21T03:54:53.791440+0000 | INFO | bot_init:bot_init:22 | Username - @ggoodboyybot
2026-01-21T03:54:53.791600+0000 | INFO | bot_init:bot_init:23 | ID       - 848325310
2026-01-21T03:54:53.791855+0000 | INFO | bot_init:bot_init:24 | BOT INITIALIZATION
2026-01-21T03:54:53.793159+0000 | INFO | bot_init:bot_init:32 | 🚀 Запускаем телеграм бота...
2026-01-21T03:59:39.512379+0000 | INFO | __main__:initialize:43 | ✅ Все компоненты инициализированы
2026-01-21T03:59:39.512680+0000 | ERROR | __main__:run:52 | ❌ Ошибка при запуске бота: 'FitnessBotApp' object has no attribute 'bot_initializer'
2026-01-21T03:59:39.515372+0000 | ERROR | __main__:<module>:80 | 💥 Критическая ошибка: 'FitnessBotApp' object has no attribute 'bot_initializer'
2026-01-21T03:59:48.626076+0000 | INFO | rabbitmq_service:wait_for_rabbitmq:32 | ✓ RabbitMQ доступен после 1 попытки
2026-01-21T03:59:48.634763+0000 | INFO | rabbitmq_init:connect:29 | ✓ Успешно подключились к RabbitMQ
2026-01-21T03:59:48.634997+0000 | INFO | bot_init:bot_init:15 | 🔑 Токен бота получен (длина: 45 символов)
2026-01-21T03:59:48.820939+0000 | INFO | bot_init:bot_init:21 | Name     - goodboy
2026-01-21T03:59:48.821115+0000 | INFO | bot_init:bot_init:22 | Username - @ggoodboyybot
2026-01-21T03:59:48.821174+0000 | INFO | bot_init:bot_init:23 | ID       - 848325310
2026-01-21T03:59:48.821221+0000 | INFO | bot_init:bot_init:24 | BOT INITIALIZATION
2026-01-21T03:59:48.821825+0000 | INFO | bot_init:bot_init:32 | 🚀 Запускаем телеграм бота...
2026-01-21T04:00:36.309733+0000 | INFO | command_handlers:register_command_handlers:55 | Инициализация команд прошла успешно
2026-01-21T04:00:36.310161+0000 | INFO | message_handlers:register_message_handlers:48 | Инициализация сообщений прошла успешно
2026-01-21T04:00:36.310320+0000 | INFO | __main__:initialize:41 | ✅ Все компоненты инициализированы
2026-01-21T04:00:36.310480+0000 | ERROR | __main__:run:50 | ❌ Ошибка при запуске бота: 'FitnessBotApp' object has no attribute 'bot_initializer'
2026-01-21T04:00:36.313351+0000 | ERROR | __main__:<module>:78 | 💥 Критическая ошибка: 'FitnessBotApp' object has no attribute 'bot_initializer'
2026-01-21T04:00:45.390816+0000 | INFO | rabbitmq_service:wait_for_rabbitmq:32 | ✓ RabbitMQ доступен после 1 попытки
2026-01-21T04:00:45.400370+0000 | INFO | rabbitmq_init:connect:29 | ✓ Успешно подключились к RabbitMQ
2026-01-21T04:00:45.400584+0000 | INFO | bot_init:bot_init:15 | 🔑 Токен бота получен (длина: 45 символов)
2026-01-21T04:00:45.638842+0000 | INFO | bot_init:bot_init:21 | Name     - goodboy
2026-01-21T04:00:45.639002+0000 | INFO | bot_init:bot_init:22 | Username - @ggoodboyybot
2026-01-21T04:00:45.639058+0000 | INFO | bot_init:bot_init:23 | ID       - 848325310
2026-01-21T04:00:45.639107+0000 | INFO | bot_init:bot_init:24 | BOT INITIALIZATION
2026-01-21T04:00:45.639643+0000 | INFO | bot_init:bot_init:32 | 🚀 Запускаем телеграм бота...
2026-01-21T04:01:19.076194+0000 | INFO | bot_init:bot_init:34 | TESTIN
2026-01-21T04:01:19.076752+0000 | INFO | command_handlers:register_command_handlers:55 | Инициализация команд прошла успешно
2026-01-21T04:01:19.076880+0000 | INFO | message_handlers:register_message_handlers:48 | Инициализация сообщений прошла успешно
2026-01-21T04:01:19.076934+0000 | INFO | __main__:initialize:41 | ✅ Все компоненты инициализированы
2026-01-21T04:01:19.077080+0000 | ERROR | __main__:run:50 | ❌ Ошибка при запуске бота: 'FitnessBotApp' object has no attribute 'bot_initializer'
2026-01-21T04:01:19.078714+0000 | ERROR | __main__:<module>:78 | 💥 Критическая ошибка: 'FitnessBotApp' object has no attribute 'bot_initializer'
2026-01-21T04:01:28.305859+0000 | INFO | rabbitmq_service:wait_for_rabbitmq:32 | ✓ RabbitMQ доступен после 1 попытки
2026-01-21T04:01:28.318436+0000 | INFO | rabbitmq_init:connect:29 | ✓ Успешно подключились к RabbitMQ
2026-01-21T04:01:28.318627+0000 | INFO | bot_init:bot_init:15 | 🔑 Токен бота получен (длина: 45 символов)
